,experiment_index,input_dim,embedding_size,optimal_btsp_fq_constant,optimal_btsp_sampling_ratio,optimal_btsp_fq,btsp_mAP,fly_mAP,wta_mAP,lsh_mAP
0,0,784,15680,1,0.6,0.001530612244897959,0.668684668350507,0.7119143636188755,0.5258717008139291,0.4374909060024199
1,1,784,3136,2,0.01,0.015306122448979591,0.6682974641626295,0.7057957562355193,0.5241086873306076,0.4146271122008201
2,2,784,6272,2,0.01,0.007653061224489796,0.6606945746581614,0.713995202446884,0.5261674965723933,0.41914453737961144
3,3,784,9408,2,0.01,0.00510204081632653,0.6843265234658921,0.7056911289094143,0.5402574043692329,0.42637461638651086
4,4,784,784,2,0.01,0.061224489795918366,0.6687408149267564,0.6759907211998969,0.4093816343794582,0.425110824174061
5,5,784,15680,2,0.6,0.0005102040816326531,0.37232462331048327,0.4026171280968549,0.1585304874542885,0.1814995994430959
6,6,784,3136,1,0.2,0.0012755102040816326,0.38150069121739144,0.394878919723271,0.10768964452807524,0.18064467518828672
7,7,784,6272,1,0.6,0.0006377551020408163,0.3600412771797524,0.39126441648639654,0.1564306119583886,0.15942221655652128
8,8,784,9408,1,0.6,0.00042517006802721087,0.3811119214688881,0.38385100620216595,0.12389161415594671,0.16092519949453019
9,9,784,784,10,0.1,0.05102040816326531,0.3371891824420386,0.3566013207228623,0.17377312370628772,0.17789236329703534
10,10,784,15680,1,0.6,0.0005102040816326531,0.48211474086995965,0.5111705213388477,0.27595164928120186,0.27516931916464216
11,11,784,3136,1,0.01,0.002551020408163265,0.4641325551006943,0.5084088384164238,0.23327485757775768,0.2540962643646399
12,12,784,6272,1,0.6,0.0012755102040816326,0.482205281730378,0.525418970298613,0.2738563012343291,0.2401904223133622
13,13,784,9408,1,0.3,0.0008503401360544217,0.4935373353981673,0.5252697610737487,0.27699877540693746,0.2789020645015731
14,14,784,784,1,0.01,0.01020408163265306,0.4559294777759392,0.5109119371847957,0.21846669657660814,0.2576719432293161
15,15,784,15680,1,0.6,0.0007653061224489796,0.5758235666068888,0.6006230303547799,0.3445499359507054,0.30601556370487853
16,16,784,3136,1,0.01,0.003826530612244898,0.5479510778388998,0.5897982257176384,0.35393520106753956,0.32990462894674183
17,17,784,6272,1,0.01,0.001913265306122449,0.5598780853249057,0.5832223506312141,0.351917949453208,0.320570723571349
18,18,784,9408,1,0.6,0.0012755102040816326,0.5602867557974457,0.5937605456244653,0.2808511342865917,0.30657690100189766
19,19,784,784,2,0.01,0.030612244897959183,0.5423122000266772,0.5777461649885739,0.22380006520771112,0.324126629676397
20,20,784,15680,1,0.6,0.0010204081632653062,0.6082321296058546,0.6513477581669094,0.4488964856512595,0.36196821440357424
21,21,784,3136,2,0.01,0.01020408163265306,0.608000497239534,0.6373561185068614,0.4743032471058843,0.36128274114206727
22,22,784,6272,1,0.01,0.002551020408163265,0.612834144267787,0.6406283910730977,0.41426947711503476,0.3595400340578393
23,23,784,9408,1,0.2,0.0017006802721088435,0.6053242308931966,0.6491547378761539,0.36835578790797924,0.357742681291089
24,24,784,784,1,0.01,0.02040816326530612,0.5791840923187223,0.6400108702801963,0.3891623627691209,0.3524463485735096
25,25,784,15680,1,0.6,0.0012755102040816326,0.6518796435871854,0.6845449284100162,0.48014809493535154,0.38100031699130626
26,26,784,3136,1,0.01,0.006377551020408163,0.6465758602510755,0.6750591001969949,0.4612792201931368,0.37304567120277554
27,27,784,6272,2,0.01,0.006377551020408163,0.6583216137487218,0.6842335259044268,0.4809556418811066,0.40068131892067094
28,28,784,9408,2,0.01,0.004251700680272109,0.6409628673619642,0.686965105694587,0.49422340512875507,0.3858337966358419
