,dataset_name,training_data_num,hash_length,space_ratio,btsp_fq_constant_x,binary_mode,btsp_sampling_ratio_x,random_seed,experiment_index,input_dim,embedding_size,btsp_fq_constant_y,btsp_sampling_ratio_y,btsp_fq,btsp_mAP
0,mnist10k,5000,24,20,1,True,0.01,1,0,784,15680,1,0.01,0.001530612244897959,0.7159064529969288
1,mnist10k,5000,24,20,1,True,0.05,1,1,784,15680,1,0.05,0.001530612244897959,0.7128421176736246
2,mnist10k,5000,24,20,1,True,0.1,1,2,784,15680,1,0.1,0.001530612244897959,0.7137007689247581
3,mnist10k,5000,24,20,1,True,0.2,1,3,784,15680,1,0.2,0.001530612244897959,0.7101754140934068
4,mnist10k,5000,24,20,1,True,0.3,1,4,784,15680,1,0.3,0.001530612244897959,0.7200280612618329
5,mnist10k,5000,24,20,1,True,0.4,1,5,784,15680,1,0.4,0.001530612244897959,0.7111552471277582
6,mnist10k,5000,24,20,1,True,0.5,1,6,784,15680,1,0.5,0.001530612244897959,0.7105201616348679
7,mnist10k,5000,24,20,1,True,0.6,1,7,784,15680,1,0.6,0.001530612244897959,0.7141960111691213
8,mnist10k,5000,24,20,1,True,0.7,1,8,784,15680,1,0.7,0.001530612244897959,0.7223463083210743
9,mnist10k,5000,24,20,1,True,0.8,1,9,784,15680,1,0.8,0.001530612244897959,0.7226287316593168
10,mnist10k,5000,24,20,2,True,0.01,1,10,784,15680,2,0.01,0.003061224489795918,0.7205127902077814
11,mnist10k,5000,24,20,2,True,0.05,1,11,784,15680,2,0.05,0.003061224489795918,0.706998538708463
12,mnist10k,5000,24,20,2,True,0.1,1,12,784,15680,2,0.1,0.003061224489795918,0.7066312169837442
13,mnist10k,5000,24,20,2,True,0.2,1,13,784,15680,2,0.2,0.003061224489795918,0.7041552036209096
14,mnist10k,5000,24,20,2,True,0.3,1,14,784,15680,2,0.3,0.003061224489795918,0.7065603662409244
15,mnist10k,5000,24,20,2,True,0.4,1,15,784,15680,2,0.4,0.003061224489795918,0.7032446044163655
16,mnist10k,5000,24,20,2,True,0.5,1,16,784,15680,2,0.5,0.003061224489795918,0.7058530412990704
17,mnist10k,5000,24,20,2,True,0.6,1,17,784,15680,2,0.6,0.003061224489795918,0.7074270287522596
18,mnist10k,5000,24,20,2,True,0.7,1,18,784,15680,2,0.7,0.003061224489795918,0.6969542410900541
19,mnist10k,5000,24,20,2,True,0.8,1,19,784,15680,2,0.8,0.003061224489795918,0.6957571764317131
20,mnist10k,5000,24,20,3,True,0.01,1,20,784,15680,3,0.01,0.004591836734693878,0.7176605315830515
21,mnist10k,5000,24,20,3,True,0.05,1,21,784,15680,3,0.05,0.004591836734693878,0.7108831943639932
22,mnist10k,5000,24,20,3,True,0.1,1,22,784,15680,3,0.1,0.004591836734693878,0.7011898260466993
23,mnist10k,5000,24,20,3,True,0.2,1,23,784,15680,3,0.2,0.004591836734693878,0.7056829925939421
24,mnist10k,5000,24,20,3,True,0.3,1,24,784,15680,3,0.3,0.004591836734693878,0.7033312257529463
25,mnist10k,5000,24,20,3,True,0.4,1,25,784,15680,3,0.4,0.004591836734693878,0.6992507158552339
26,mnist10k,5000,24,20,3,True,0.5,1,26,784,15680,3,0.5,0.004591836734693878,0.6987908927870802
27,mnist10k,5000,24,20,3,True,0.6,1,27,784,15680,3,0.6,0.004591836734693878,0.7048623715612895
28,mnist10k,5000,24,20,3,True,0.7,1,28,784,15680,3,0.7,0.004591836734693878,0.6970701861778302
29,mnist10k,5000,24,20,3,True,0.8,1,29,784,15680,3,0.8,0.004591836734693878,0.686668090365841
30,mnist10k,5000,24,20,5,True,0.01,1,30,784,15680,5,0.01,0.007653061224489796,0.7171060249940318
31,mnist10k,5000,24,20,5,True,0.05,1,31,784,15680,5,0.05,0.007653061224489796,0.704167261519923
32,mnist10k,5000,24,20,5,True,0.1,1,32,784,15680,5,0.1,0.007653061224489796,0.7055818104354811
33,mnist10k,5000,24,20,5,True,0.2,1,33,784,15680,5,0.2,0.007653061224489796,0.6939697783215565
34,mnist10k,5000,24,20,5,True,0.3,1,34,784,15680,5,0.3,0.007653061224489796,0.6915521852283952
35,mnist10k,5000,24,20,5,True,0.4,1,35,784,15680,5,0.4,0.007653061224489796,0.6906762662498659
36,mnist10k,5000,24,20,5,True,0.5,1,36,784,15680,5,0.5,0.007653061224489796,0.7026140252239834
37,mnist10k,5000,24,20,5,True,0.6,1,37,784,15680,5,0.6,0.007653061224489796,0.6954785505373295
38,mnist10k,5000,24,20,5,True,0.7,1,38,784,15680,5,0.7,0.007653061224489796,0.6935184835986012
39,mnist10k,5000,24,20,5,True,0.8,1,39,784,15680,5,0.8,0.007653061224489796,0.6926372950171668
40,mnist10k,5000,24,20,7,True,0.01,1,40,784,15680,7,0.01,0.010714285714285714,0.7209326802848688
41,mnist10k,5000,24,20,7,True,0.05,1,41,784,15680,7,0.05,0.010714285714285714,0.6960293062517576
42,mnist10k,5000,24,20,7,True,0.1,1,42,784,15680,7,0.1,0.010714285714285714,0.7035030727237882
43,mnist10k,5000,24,20,7,True,0.2,1,43,784,15680,7,0.2,0.010714285714285714,0.7116301213315244
44,mnist10k,5000,24,20,7,True,0.3,1,44,784,15680,7,0.3,0.010714285714285714,0.700972359513399
45,mnist10k,5000,24,20,7,True,0.4,1,45,784,15680,7,0.4,0.010714285714285714,0.7020276037972979
46,mnist10k,5000,24,20,7,True,0.5,1,46,784,15680,7,0.5,0.010714285714285714,0.7008431834605762
47,mnist10k,5000,24,20,7,True,0.6,1,47,784,15680,7,0.6,0.010714285714285714,0.692472050360327
48,mnist10k,5000,24,20,7,True,0.7,1,48,784,15680,7,0.7,0.010714285714285714,0.6976824002345585
49,mnist10k,5000,24,20,7,True,0.8,1,49,784,15680,7,0.8,0.010714285714285714,0.6915252441574404
50,mnist10k,5000,24,20,8,True,0.01,1,50,784,15680,8,0.01,0.012244897959183673,0.7195053519641008
51,mnist10k,5000,24,20,8,True,0.05,1,51,784,15680,8,0.05,0.012244897959183673,0.7068055399806742
52,mnist10k,5000,24,20,8,True,0.1,1,52,784,15680,8,0.1,0.012244897959183673,0.7028075822873942
53,mnist10k,5000,24,20,8,True,0.2,1,53,784,15680,8,0.2,0.012244897959183673,0.6970411022163586
54,mnist10k,5000,24,20,8,True,0.3,1,54,784,15680,8,0.3,0.012244897959183673,0.685799956355924
55,mnist10k,5000,24,20,8,True,0.4,1,55,784,15680,8,0.4,0.012244897959183673,0.701151539619137
56,mnist10k,5000,24,20,8,True,0.5,1,56,784,15680,8,0.5,0.012244897959183673,0.6945157489816064
57,mnist10k,5000,24,20,8,True,0.6,1,57,784,15680,8,0.6,0.012244897959183673,0.6873496777895229
58,mnist10k,5000,24,20,8,True,0.7,1,58,784,15680,8,0.7,0.012244897959183673,0.696581340079372
59,mnist10k,5000,24,20,8,True,0.8,1,59,784,15680,8,0.8,0.012244897959183673,0.6950966202591413
60,mnist10k,5000,24,20,10,True,0.01,1,60,784,15680,10,0.01,0.015306122448979591,0.7090656225265227
61,mnist10k,5000,24,20,10,True,0.05,1,61,784,15680,10,0.05,0.015306122448979591,0.7043795126676056
62,mnist10k,5000,24,20,10,True,0.1,1,62,784,15680,10,0.1,0.015306122448979591,0.705242644068286
63,mnist10k,5000,24,20,10,True,0.2,1,63,784,15680,10,0.2,0.015306122448979591,0.7014460675402542
64,mnist10k,5000,24,20,10,True,0.3,1,64,784,15680,10,0.3,0.015306122448979591,0.6940642134975437
65,mnist10k,5000,24,20,10,True,0.4,1,65,784,15680,10,0.4,0.015306122448979591,0.6907288046278032
66,mnist10k,5000,24,20,10,True,0.5,1,66,784,15680,10,0.5,0.015306122448979591,0.6987224434297107
67,mnist10k,5000,24,20,10,True,0.6,1,67,784,15680,10,0.6,0.015306122448979591,0.6902663065239539
68,mnist10k,5000,24,20,10,True,0.7,1,68,784,15680,10,0.7,0.015306122448979591,0.6904621567797506
69,mnist10k,5000,24,20,10,True,0.8,1,69,784,15680,10,0.8,0.015306122448979591,0.6744001201308532
70,mnist10k,5000,24,4,1,True,0.01,1,70,784,3136,1,0.01,0.007653061224489796,0.7067018033270149
71,mnist10k,5000,24,4,1,True,0.05,1,71,784,3136,1,0.05,0.007653061224489796,0.6963145611356713
72,mnist10k,5000,24,4,1,True,0.1,1,72,784,3136,1,0.1,0.007653061224489796,0.6962822824918073
73,mnist10k,5000,24,4,1,True,0.2,1,73,784,3136,1,0.2,0.007653061224489796,0.6881089322368593
74,mnist10k,5000,24,4,1,True,0.3,1,74,784,3136,1,0.3,0.007653061224489796,0.671732049002936
75,mnist10k,5000,24,4,1,True,0.4,1,75,784,3136,1,0.4,0.007653061224489796,0.6879543116628366
76,mnist10k,5000,24,4,1,True,0.5,1,76,784,3136,1,0.5,0.007653061224489796,0.696505415719207
77,mnist10k,5000,24,4,1,True,0.6,1,77,784,3136,1,0.6,0.007653061224489796,0.6930919600656412
78,mnist10k,5000,24,4,1,True,0.7,1,78,784,3136,1,0.7,0.007653061224489796,0.7090251336998737
79,mnist10k,5000,24,4,1,True,0.8,1,79,784,3136,1,0.8,0.007653061224489796,0.6860293233200534
80,mnist10k,5000,24,4,2,True,0.01,1,80,784,3136,2,0.01,0.015306122448979591,0.7143809072119123
81,mnist10k,5000,24,4,2,True,0.05,1,81,784,3136,2,0.05,0.015306122448979591,0.6904916153206976
82,mnist10k,5000,24,4,2,True,0.1,1,82,784,3136,2,0.1,0.015306122448979591,0.6970719457014707
83,mnist10k,5000,24,4,2,True,0.2,1,83,784,3136,2,0.2,0.015306122448979591,0.6916255788896675
84,mnist10k,5000,24,4,2,True,0.3,1,84,784,3136,2,0.3,0.015306122448979591,0.6851555843023773
85,mnist10k,5000,24,4,2,True,0.4,1,85,784,3136,2,0.4,0.015306122448979591,0.6834881873807703
86,mnist10k,5000,24,4,2,True,0.5,1,86,784,3136,2,0.5,0.015306122448979591,0.6952865752514671
87,mnist10k,5000,24,4,2,True,0.6,1,87,784,3136,2,0.6,0.015306122448979591,0.7034674157941156
88,mnist10k,5000,24,4,2,True,0.7,1,88,784,3136,2,0.7,0.015306122448979591,0.6828271350534534
89,mnist10k,5000,24,4,2,True,0.8,1,89,784,3136,2,0.8,0.015306122448979591,0.6782571410810824
90,mnist10k,5000,24,4,3,True,0.01,1,90,784,3136,3,0.01,0.02295918367346939,0.7242535095817666
91,mnist10k,5000,24,4,3,True,0.05,1,91,784,3136,3,0.05,0.02295918367346939,0.6976004662641698
92,mnist10k,5000,24,4,3,True,0.1,1,92,784,3136,3,0.1,0.02295918367346939,0.6940634020392242
93,mnist10k,5000,24,4,3,True,0.2,1,93,784,3136,3,0.2,0.02295918367346939,0.7104994602800218
94,mnist10k,5000,24,4,3,True,0.3,1,94,784,3136,3,0.3,0.02295918367346939,0.7027330081896003
95,mnist10k,5000,24,4,3,True,0.4,1,95,784,3136,3,0.4,0.02295918367346939,0.6942908467594091
96,mnist10k,5000,24,4,3,True,0.5,1,96,784,3136,3,0.5,0.02295918367346939,0.6963653109770301
97,mnist10k,5000,24,4,3,True,0.6,1,97,784,3136,3,0.6,0.02295918367346939,0.696988540316728
98,mnist10k,5000,24,4,3,True,0.7,1,98,784,3136,3,0.7,0.02295918367346939,0.6905624793373398
99,mnist10k,5000,24,4,3,True,0.8,1,99,784,3136,3,0.8,0.02295918367346939,0.6835074877682369
100,mnist10k,5000,24,4,5,True,0.01,1,100,784,3136,5,0.01,0.03826530612244898,0.713035535717132
101,mnist10k,5000,24,4,5,True,0.05,1,101,784,3136,5,0.05,0.03826530612244898,0.6945197251071649
102,mnist10k,5000,24,4,5,True,0.1,1,102,784,3136,5,0.1,0.03826530612244898,0.6879994634506219
103,mnist10k,5000,24,4,5,True,0.2,1,103,784,3136,5,0.2,0.03826530612244898,0.6994032232476062
104,mnist10k,5000,24,4,5,True,0.3,1,104,784,3136,5,0.3,0.03826530612244898,0.6965573275190499
105,mnist10k,5000,24,4,5,True,0.4,1,105,784,3136,5,0.4,0.03826530612244898,0.6960389849696151
106,mnist10k,5000,24,4,5,True,0.5,1,106,784,3136,5,0.5,0.03826530612244898,0.69270104979804
107,mnist10k,5000,24,4,5,True,0.6,1,107,784,3136,5,0.6,0.03826530612244898,0.6958057795819
108,mnist10k,5000,24,4,5,True,0.7,1,108,784,3136,5,0.7,0.03826530612244898,0.6781369426247711
109,mnist10k,5000,24,4,5,True,0.8,1,109,784,3136,5,0.8,0.03826530612244898,0.6847195225887998
110,mnist10k,5000,24,4,7,True,0.01,1,110,784,3136,7,0.01,0.05357142857142857,0.7160092928014219
111,mnist10k,5000,24,4,7,True,0.05,1,111,784,3136,7,0.05,0.05357142857142857,0.7023142028526144
112,mnist10k,5000,24,4,7,True,0.1,1,112,784,3136,7,0.1,0.05357142857142857,0.6963702330934153
113,mnist10k,5000,24,4,7,True,0.2,1,113,784,3136,7,0.2,0.05357142857142857,0.7008700561345956
114,mnist10k,5000,24,4,7,True,0.3,1,114,784,3136,7,0.3,0.05357142857142857,0.695415684102681
115,mnist10k,5000,24,4,7,True,0.4,1,115,784,3136,7,0.4,0.05357142857142857,0.6947221535475367
116,mnist10k,5000,24,4,7,True,0.5,1,116,784,3136,7,0.5,0.05357142857142857,0.7024245445849442
117,mnist10k,5000,24,4,7,True,0.6,1,117,784,3136,7,0.6,0.05357142857142857,0.6927093048511352
118,mnist10k,5000,24,4,7,True,0.7,1,118,784,3136,7,0.7,0.05357142857142857,0.6862500677254447
119,mnist10k,5000,24,4,7,True,0.8,1,119,784,3136,7,0.8,0.05357142857142857,0.6811414367975498
120,mnist10k,5000,24,4,8,True,0.01,1,120,784,3136,8,0.01,0.061224489795918366,0.7122541978165416
121,mnist10k,5000,24,4,8,True,0.05,1,121,784,3136,8,0.05,0.061224489795918366,0.6951358028132174
122,mnist10k,5000,24,4,8,True,0.1,1,122,784,3136,8,0.1,0.061224489795918366,0.6962903727645937
123,mnist10k,5000,24,4,8,True,0.2,1,123,784,3136,8,0.2,0.061224489795918366,0.7000984174820178
124,mnist10k,5000,24,4,8,True,0.3,1,124,784,3136,8,0.3,0.061224489795918366,0.6952245066427895
125,mnist10k,5000,24,4,8,True,0.4,1,125,784,3136,8,0.4,0.061224489795918366,0.6914483337944514
126,mnist10k,5000,24,4,8,True,0.5,1,126,784,3136,8,0.5,0.061224489795918366,0.6890503010267501
127,mnist10k,5000,24,4,8,True,0.6,1,127,784,3136,8,0.6,0.061224489795918366,0.698523974210217
128,mnist10k,5000,24,4,8,True,0.7,1,128,784,3136,8,0.7,0.061224489795918366,0.6834366448084134
129,mnist10k,5000,24,4,8,True,0.8,1,129,784,3136,8,0.8,0.061224489795918366,0.674598564093989
130,mnist10k,5000,24,4,10,True,0.01,1,130,784,3136,10,0.01,0.07653061224489796,0.7192526773214643
131,mnist10k,5000,24,4,10,True,0.05,1,131,784,3136,10,0.05,0.07653061224489796,0.6909965217766412
132,mnist10k,5000,24,4,10,True,0.1,1,132,784,3136,10,0.1,0.07653061224489796,0.6961382878668722
133,mnist10k,5000,24,4,10,True,0.2,1,133,784,3136,10,0.2,0.07653061224489796,0.6934685349909482
134,mnist10k,5000,24,4,10,True,0.3,1,134,784,3136,10,0.3,0.07653061224489796,0.7029294557653903
135,mnist10k,5000,24,4,10,True,0.4,1,135,784,3136,10,0.4,0.07653061224489796,0.6860268523812842
136,mnist10k,5000,24,4,10,True,0.5,1,136,784,3136,10,0.5,0.07653061224489796,0.6994599823816532
137,mnist10k,5000,24,4,10,True,0.6,1,137,784,3136,10,0.6,0.07653061224489796,0.6880627657829735
138,mnist10k,5000,24,4,10,True,0.7,1,138,784,3136,10,0.7,0.07653061224489796,0.6877987520174222
139,mnist10k,5000,24,4,10,True,0.8,1,139,784,3136,10,0.8,0.07653061224489796,0.6881299585299459
140,mnist10k,5000,24,8,1,True,0.01,1,140,784,6272,1,0.01,0.003826530612244898,0.7196176595658662
141,mnist10k,5000,24,8,1,True,0.05,1,141,784,6272,1,0.05,0.003826530612244898,0.7012557566889867
142,mnist10k,5000,24,8,1,True,0.1,1,142,784,6272,1,0.1,0.003826530612244898,0.7001891500154106
143,mnist10k,5000,24,8,1,True,0.2,1,143,784,6272,1,0.2,0.003826530612244898,0.6976783702438343
144,mnist10k,5000,24,8,1,True,0.3,1,144,784,6272,1,0.3,0.003826530612244898,0.6875037224589111
145,mnist10k,5000,24,8,1,True,0.4,1,145,784,6272,1,0.4,0.003826530612244898,0.6960299511990033
146,mnist10k,5000,24,8,1,True,0.5,1,146,784,6272,1,0.5,0.003826530612244898,0.6862302074873731
147,mnist10k,5000,24,8,1,True,0.6,1,147,784,6272,1,0.6,0.003826530612244898,0.7013876830421998
148,mnist10k,5000,24,8,1,True,0.7,1,148,784,6272,1,0.7,0.003826530612244898,0.6815597269370021
149,mnist10k,5000,24,8,1,True,0.8,1,149,784,6272,1,0.8,0.003826530612244898,0.695461595837406
150,mnist10k,5000,24,8,2,True,0.01,1,150,784,6272,2,0.01,0.007653061224489796,0.725443424025731
151,mnist10k,5000,24,8,2,True,0.05,1,151,784,6272,2,0.05,0.007653061224489796,0.7054698420637082
152,mnist10k,5000,24,8,2,True,0.1,1,152,784,6272,2,0.1,0.007653061224489796,0.7105695998322228
153,mnist10k,5000,24,8,2,True,0.2,1,153,784,6272,2,0.2,0.007653061224489796,0.6907896793316067
154,mnist10k,5000,24,8,2,True,0.3,1,154,784,6272,2,0.3,0.007653061224489796,0.6992584643836957
155,mnist10k,5000,24,8,2,True,0.4,1,155,784,6272,2,0.4,0.007653061224489796,0.6917611692779079
156,mnist10k,5000,24,8,2,True,0.5,1,156,784,6272,2,0.5,0.007653061224489796,0.7013397565074029
157,mnist10k,5000,24,8,2,True,0.6,1,157,784,6272,2,0.6,0.007653061224489796,0.6865272347575888
158,mnist10k,5000,24,8,2,True,0.7,1,158,784,6272,2,0.7,0.007653061224489796,0.7059074312893435
