,experiment_index,input_dim,embedding_size,btsp_fq_constant,btsp_sampling_ratio,btsp_fq,btsp_mAP
0,0,784,15680,1,0.01,0.001530612244897959,0.7159064529969288
1,1,784,15680,1,0.05,0.001530612244897959,0.7128421176736246
2,2,784,15680,1,0.1,0.001530612244897959,0.7137007689247581
3,3,784,15680,1,0.2,0.001530612244897959,0.7101754140934068
4,4,784,15680,1,0.3,0.001530612244897959,0.7200280612618329
5,5,784,15680,1,0.4,0.001530612244897959,0.7111552471277582
6,6,784,15680,1,0.5,0.001530612244897959,0.7105201616348679
7,7,784,15680,1,0.6,0.001530612244897959,0.7141960111691213
8,8,784,15680,1,0.7,0.001530612244897959,0.7223463083210743
9,9,784,15680,1,0.8,0.001530612244897959,0.7226287316593168
10,10,784,15680,2,0.01,0.003061224489795918,0.7205127902077814
11,11,784,15680,2,0.05,0.003061224489795918,0.706998538708463
12,12,784,15680,2,0.1,0.003061224489795918,0.7066312169837442
13,13,784,15680,2,0.2,0.003061224489795918,0.7041552036209096
14,14,784,15680,2,0.3,0.003061224489795918,0.7065603662409244
15,15,784,15680,2,0.4,0.003061224489795918,0.7032446044163655
16,16,784,15680,2,0.5,0.003061224489795918,0.7058530412990704
17,17,784,15680,2,0.6,0.003061224489795918,0.7074270287522596
18,18,784,15680,2,0.7,0.003061224489795918,0.6969542410900541
19,19,784,15680,2,0.8,0.003061224489795918,0.6957571764317131
20,20,784,15680,3,0.01,0.004591836734693878,0.7176605315830515
21,21,784,15680,3,0.05,0.004591836734693878,0.7108831943639932
22,22,784,15680,3,0.1,0.004591836734693878,0.7011898260466993
23,23,784,15680,3,0.2,0.004591836734693878,0.7056829925939421
24,24,784,15680,3,0.3,0.004591836734693878,0.7033312257529463
25,25,784,15680,3,0.4,0.004591836734693878,0.6992507158552339
26,26,784,15680,3,0.5,0.004591836734693878,0.6987908927870802
27,27,784,15680,3,0.6,0.004591836734693878,0.7048623715612895
28,28,784,15680,3,0.7,0.004591836734693878,0.6970701861778302
29,29,784,15680,3,0.8,0.004591836734693878,0.686668090365841
30,30,784,15680,5,0.01,0.007653061224489796,0.7171060249940318
31,31,784,15680,5,0.05,0.007653061224489796,0.704167261519923
32,32,784,15680,5,0.1,0.007653061224489796,0.7055818104354811
33,33,784,15680,5,0.2,0.007653061224489796,0.6939697783215565
34,34,784,15680,5,0.3,0.007653061224489796,0.6915521852283952
35,35,784,15680,5,0.4,0.007653061224489796,0.6906762662498659
36,36,784,15680,5,0.5,0.007653061224489796,0.7026140252239834
37,37,784,15680,5,0.6,0.007653061224489796,0.6954785505373295
38,38,784,15680,5,0.7,0.007653061224489796,0.6935184835986012
39,39,784,15680,5,0.8,0.007653061224489796,0.6926372950171668
40,40,784,15680,7,0.01,0.010714285714285714,0.7209326802848688
41,41,784,15680,7,0.05,0.010714285714285714,0.6960293062517576
42,42,784,15680,7,0.1,0.010714285714285714,0.7035030727237882
43,43,784,15680,7,0.2,0.010714285714285714,0.7116301213315244
44,44,784,15680,7,0.3,0.010714285714285714,0.700972359513399
45,45,784,15680,7,0.4,0.010714285714285714,0.7020276037972979
46,46,784,15680,7,0.5,0.010714285714285714,0.7008431834605762
47,47,784,15680,7,0.6,0.010714285714285714,0.692472050360327
48,48,784,15680,7,0.7,0.010714285714285714,0.6976824002345585
49,49,784,15680,7,0.8,0.010714285714285714,0.6915252441574404
50,50,784,15680,8,0.01,0.012244897959183673,0.7195053519641008
